position,id,label_4way,label_2way
0,sappelli:100865,ignore,no_reply
1,sappelli:102834,accountable non-answer,no_reply
2,sappelli:102928,accountable non-answer,no_reply
3,sappelli:103076,immediate reply,needs_reply
4,sappelli:103216,ignore,no_reply
5,sappelli:103455,ignore,no_reply
6,sappelli:103462,accountable non-answer,no_reply
7,sappelli:103793,ignore,no_reply
8,sappelli:103820,immediate reply,needs_reply
9,sappelli:103855,postponed reply,needs_reply
10,sappelli:103860,immediate reply,needs_reply
11,sappelli:103938,ignore,no_reply
12,sappelli:104126,accountable non-answer,no_reply
13,sappelli:104236,accountable non-answer,no_reply
14,sappelli:104301,immediate reply,needs_reply
15,sappelli:104352,accountable non-answer,no_reply
16,sappelli:104386,immediate reply,needs_reply
17,sappelli:104498,immediate reply,needs_reply
18,sappelli:104532,accountable non-answer,no_reply
19,sappelli:104535,ignore,no_reply
20,sappelli:104540,immediate reply,needs_reply
21,sappelli:104548,accountable non-answer,no_reply
22,sappelli:104552,accountable non-answer,no_reply
23,sappelli:104556,accountable non-answer,no_reply
24,sappelli:105134,postponed reply,needs_reply
25,sappelli:105421,immediate reply,needs_reply
26,sappelli:105611,accountable non-answer,no_reply
27,sappelli:105628,accountable non-answer,no_reply
28,sappelli:105644,postponed reply,needs_reply
29,sappelli:105680,accountable non-answer,no_reply
30,sappelli:105691,accountable non-answer,no_reply
31,sappelli:105861,accountable non-answer,no_reply
32,sappelli:106266,accountable non-answer,no_reply
33,sappelli:106903,postponed reply,needs_reply
34,sappelli:106903,postponed reply,needs_reply
35,sappelli:106903,postponed reply,needs_reply
36,sappelli:108333,postponed reply,needs_reply
37,sappelli:108341,ignore,no_reply
38,sappelli:108390,ignore,no_reply
39,sappelli:108390,ignore,no_reply
40,sappelli:108390,ignore,no_reply
41,sappelli:108683,ignore,no_reply
42,sappelli:108683,ignore,no_reply
43,sappelli:108683,ignore,no_reply
44,sappelli:109234,postponed reply,needs_reply
45,sappelli:109479,postponed reply,needs_reply
46,sappelli:109497,ignore,no_reply
47,sappelli:109615,ignore,no_reply
48,sappelli:109615,ignore,no_reply
49,sappelli:109615,ignore,no_reply
50,sappelli:109990,ignore,no_reply
51,sappelli:110530,ignore,no_reply
52,sappelli:110530,ignore,no_reply
53,sappelli:110530,ignore,no_reply
54,sappelli:110531,immediate reply,needs_reply
55,sappelli:11250,accountable non-answer,no_reply
56,sappelli:11251,accountable non-answer,no_reply
57,sappelli:11390,accountable non-answer,no_reply
58,sappelli:11395,accountable non-answer,no_reply
59,sappelli:11400,accountable non-answer,no_reply
60,sappelli:117625,accountable non-answer,no_reply
61,sappelli:117652,accountable non-answer,no_reply
62,sappelli:117660,accountable non-answer,no_reply
63,sappelli:1301,accountable non-answer,no_reply
64,sappelli:135262,accountable non-answer,no_reply
65,sappelli:135267,immediate reply,needs_reply
66,sappelli:135269,accountable non-answer,no_reply
67,sappelli:135270,accountable non-answer,no_reply
68,sappelli:135281,accountable non-answer,no_reply
69,sappelli:135297,immediate reply,needs_reply
70,sappelli:135303,accountable non-answer,no_reply
71,sappelli:139527,immediate reply,needs_reply
72,sappelli:139778,immediate reply,needs_reply
73,sappelli:140355,immediate reply,needs_reply
74,sappelli:140498,immediate reply,needs_reply
75,sappelli:140670,immediate reply,needs_reply
76,sappelli:140795,accountable non-answer,no_reply
77,sappelli:141108,postponed reply,needs_reply
78,sappelli:141223,accountable non-answer,no_reply
79,sappelli:141681,postponed reply,needs_reply
80,sappelli:142333,postponed reply,needs_reply
81,sappelli:142548,immediate reply,needs_reply
82,sappelli:142573,accountable non-answer,no_reply
83,sappelli:142714,immediate reply,needs_reply
84,sappelli:142844,immediate reply,needs_reply
85,sappelli:143130,postponed reply,needs_reply
86,sappelli:143171,immediate reply,needs_reply
87,sappelli:143174,postponed reply,needs_reply
88,sappelli:143179,accountable non-answer,no_reply
89,sappelli:143264,immediate reply,needs_reply
90,sappelli:143273,immediate reply,needs_reply
91,sappelli:143339,immediate reply,needs_reply
92,sappelli:143387,accountable non-answer,no_reply
93,sappelli:143405,accountable non-answer,no_reply
94,sappelli:143405,accountable non-answer,no_reply
95,sappelli:143405,accountable non-answer,no_reply
96,sappelli:143407,accountable non-answer,no_reply
97,sappelli:143541,immediate reply,needs_reply
98,sappelli:143614,postponed reply,needs_reply
99,sappelli:143627,accountable non-answer,no_reply
100,sappelli:143638,accountable non-answer,no_reply
101,sappelli:143654,postponed reply,needs_reply
102,sappelli:143779,accountable non-answer,no_reply
103,sappelli:1473,accountable non-answer,no_reply
104,sappelli:1479,accountable non-answer,no_reply
105,sappelli:1483,postponed reply,needs_reply
106,sappelli:1490,accountable non-answer,no_reply
107,sappelli:1495,accountable non-answer,no_reply
108,sappelli:1504,postponed reply,needs_reply
109,sappelli:1508,accountable non-answer,no_reply
110,sappelli:1509,immediate reply,needs_reply
111,sappelli:160877,ignore,no_reply
112,sappelli:162619,accountable non-answer,no_reply
113,sappelli:172838,accountable non-answer,no_reply
114,sappelli:172894,accountable non-answer,no_reply
115,sappelli:172935,postponed reply,needs_reply
116,sappelli:173020,accountable non-answer,no_reply
117,sappelli:173063,accountable non-answer,no_reply
118,sappelli:173116,accountable non-answer,no_reply
119,sappelli:173161,accountable non-answer,no_reply
120,sappelli:173179,ignore,no_reply
121,sappelli:173190,accountable non-answer,no_reply
122,sappelli:173273,accountable non-answer,no_reply
123,sappelli:173337,immediate reply,needs_reply
124,sappelli:173368,postponed reply,needs_reply
125,sappelli:173374,accountable non-answer,no_reply
126,sappelli:173378,accountable non-answer,no_reply
127,sappelli:173408,postponed reply,needs_reply
128,sappelli:173442,accountable non-answer,no_reply
129,sappelli:173674,ignore,no_reply
130,sappelli:173758,accountable non-answer,no_reply
131,sappelli:173769,accountable non-answer,no_reply
132,sappelli:174868,accountable non-answer,no_reply
133,sappelli:174927,immediate reply,needs_reply
134,sappelli:174928,accountable non-answer,no_reply
135,sappelli:174949,accountable non-answer,no_reply
136,sappelli:175086,accountable non-answer,no_reply
137,sappelli:175121,postponed reply,needs_reply
138,sappelli:175148,accountable non-answer,no_reply
139,sappelli:175154,accountable non-answer,no_reply
140,sappelli:177156,accountable non-answer,no_reply
141,sappelli:177189,immediate reply,needs_reply
142,sappelli:177333,postponed reply,needs_reply
143,sappelli:177370,postponed reply,needs_reply
144,sappelli:178230,accountable non-answer,no_reply
145,sappelli:178239,accountable non-answer,no_reply
146,sappelli:180669,immediate reply,needs_reply
147,sappelli:180854,immediate reply,needs_reply
148,sappelli:180885,immediate reply,needs_reply
149,sappelli:180970,accountable non-answer,no_reply
150,sappelli:181031,immediate reply,needs_reply
151,sappelli:181094,immediate reply,needs_reply
152,sappelli:181163,immediate reply,needs_reply
153,sappelli:181234,accountable non-answer,no_reply
154,sappelli:181314,postponed reply,needs_reply
155,sappelli:181390,immediate reply,needs_reply
156,sappelli:181400,accountable non-answer,no_reply
157,sappelli:181447,immediate reply,needs_reply
158,sappelli:181522,immediate reply,needs_reply
159,sappelli:182006,postponed reply,needs_reply
160,sappelli:182198,immediate reply,needs_reply
161,sappelli:182230,postponed reply,needs_reply
162,sappelli:182333,accountable non-answer,no_reply
163,sappelli:182386,postponed reply,needs_reply
164,sappelli:182465,accountable non-answer,no_reply
165,sappelli:187010,immediate reply,needs_reply
166,sappelli:187014,accountable non-answer,no_reply
167,sappelli:187822,accountable non-answer,no_reply
168,sappelli:187830,accountable non-answer,no_reply
169,sappelli:188171,accountable non-answer,no_reply
170,sappelli:18825,accountable non-answer,no_reply
171,sappelli:1938,accountable non-answer,no_reply
172,sappelli:1944,accountable non-answer,no_reply
173,sappelli:1973,immediate reply,needs_reply
174,sappelli:19849,accountable non-answer,no_reply
175,sappelli:19908,accountable non-answer,no_reply
176,sappelli:1993,postponed reply,needs_reply
177,sappelli:200547,postponed reply,needs_reply
178,sappelli:20283,accountable non-answer,no_reply
179,sappelli:2064,accountable non-answer,no_reply
180,sappelli:209540,ignore,no_reply
181,sappelli:210005,accountable non-answer,no_reply
182,sappelli:210233,ignore,no_reply
183,sappelli:210464,immediate reply,needs_reply
184,sappelli:210566,accountable non-answer,no_reply
185,sappelli:210692,accountable non-answer,no_reply
186,sappelli:210706,accountable non-answer,no_reply
187,sappelli:210891,immediate reply,needs_reply
188,sappelli:210948,accountable non-answer,no_reply
189,sappelli:210987,ignore,no_reply
190,sappelli:210988,ignore,no_reply
191,sappelli:211125,accountable non-answer,no_reply
192,sappelli:211151,accountable non-answer,no_reply
193,sappelli:211161,accountable non-answer,no_reply
194,sappelli:211174,immediate reply,needs_reply
195,sappelli:211208,immediate reply,needs_reply
196,sappelli:211260,accountable non-answer,no_reply
197,sappelli:211405,immediate reply,needs_reply
198,sappelli:232696,immediate reply,needs_reply
199,sappelli:232806,postponed reply,needs_reply
200,sappelli:233493,accountable non-answer,no_reply
201,sappelli:233494,postponed reply,needs_reply
202,sappelli:233502,accountable non-answer,no_reply
203,sappelli:233503,accountable non-answer,no_reply
204,sappelli:248595,immediate reply,needs_reply
205,sappelli:248913,ignore,no_reply
206,sappelli:248938,accountable non-answer,no_reply
207,sappelli:248977,immediate reply,needs_reply
208,sappelli:249055,immediate reply,needs_reply
209,sappelli:249121,accountable non-answer,no_reply
210,sappelli:249149,accountable non-answer,no_reply
211,sappelli:249171,postponed reply,needs_reply
212,sappelli:249244,accountable non-answer,no_reply
213,sappelli:249277,accountable non-answer,no_reply
214,sappelli:249327,accountable non-answer,no_reply
215,sappelli:249436,accountable non-answer,no_reply
216,sappelli:249497,immediate reply,needs_reply
217,sappelli:249501,postponed reply,needs_reply
218,sappelli:249521,accountable non-answer,no_reply
219,sappelli:249582,accountable non-answer,no_reply
220,sappelli:249605,accountable non-answer,no_reply
221,sappelli:249778,immediate reply,needs_reply
222,sappelli:249802,immediate reply,needs_reply
223,sappelli:249816,postponed reply,needs_reply
224,sappelli:249854,immediate reply,needs_reply
225,sappelli:249858,accountable non-answer,no_reply
226,sappelli:249881,accountable non-answer,no_reply
227,sappelli:252775,accountable non-answer,no_reply
228,sappelli:253245,accountable non-answer,no_reply
229,sappelli:256574,accountable non-answer,no_reply
230,sappelli:259561,accountable non-answer,no_reply
231,sappelli:259566,accountable non-answer,no_reply
232,sappelli:259580,immediate reply,needs_reply
233,sappelli:259652,accountable non-answer,no_reply
234,sappelli:259664,postponed reply,needs_reply
235,sappelli:259686,accountable non-answer,no_reply
236,sappelli:259799,accountable non-answer,no_reply
237,sappelli:259905,accountable non-answer,no_reply
238,sappelli:259978,accountable non-answer,no_reply
239,sappelli:259989,postponed reply,needs_reply
240,sappelli:260061,immediate reply,needs_reply
241,sappelli:260109,accountable non-answer,no_reply
242,sappelli:260300,accountable non-answer,no_reply
243,sappelli:260332,accountable non-answer,no_reply
244,sappelli:260344,accountable non-answer,no_reply
